Serie;Fra;Til;#Vassdrag;Vassdrag;;;;;;;;;;;;;;;;;;
700;60;64;5;60;61;62;63;64;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 060-064. ABruk av stasjonene: 55.4 Røykenes (skaleringsfaktor 14.518), 62.5 Bulken (skaleringsfaktor 3.159) og 62.18 Svartavatn (skaleringsfaktor 1).'
700;69;80;4;69;70;79;80;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 069, 070, 079 og 080. ABruk av stasjonene: 82.4 Nautsundvatn (skaleringsfaktor 7.784).'
700;71;73;3;71;72;73;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 071-073. ABruk av stasjonene: 71.1 Skjerping (skaleringsfaktor 1), 73.2 Stuvane (skaleringsfaktor 1) og 72.5 Brekke bru (skaleringsfaktor 5.854).'
700;74;76;3;74;75;76;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 074-076. ABruk av stasjonene: 74.1. Årdalsvatn, 77.3. Sogndalsvatn (skaleringsfaktor 2.605), 75.23. Krokenelv (skalerinsfaktor 30.759), A76.10. Myklemyr.'
700;77;78;2;77;78;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 077 og 078. ABruk av stasjonene: 77.3 Sogndalsvatn (skaleringsfaktor 6.878)), 78.8 Bøyumselv (skaleringsfaktor 1) og 83.2 Viksvatn (skaleringsfaktor 0.804).'
700;81;81;1;81;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 081. ABruk av stasjonene: 81.1 Hersvikvatn (skaleringsfaktor 26.069).'
700;82;83;2;82;83;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 82, 83. ABruk av stasjonene: 83.2 Viksvatn (skaleringsfaktor 1) og 82.4 Nautsundvatn (skaleringsfaktor 4.158).'
700;84;85;2;84;85;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 084 og 085. ABruk av stasjonene: 84.11 Hovefoss (skaleringsfaktor 1), 84.21 Brulandsfoss  ndf. (skaleringsfaktor 1), 85.2 Blåmannsvatn (skaleringsfaktor 1), 85.4. Straumstad (skaleringsfaktor 1) og 82.4 Nautsundvatn (skaleringsfaktor 5.351).'
700;86;90;3;86;87;90;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 86, 87 og 90.  ABruk av stasjonene: 87.2. Eidsfoss, 91.2 Dalsbøvatn  (skaleringsfaktor 67.593 og 89.1. Hornindalsvatn (skaleringsfaktor: 0.773).'
700;88;88;1;88;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 88. ABruk av stasjonene: 88.30. Oldevatn, 88.4. Lovatn, 88.11. Strynsvatn og 89.1. Hornindalsvatn (skaleringsfaktor: 0.476).'
700;89;91;2;89;91;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 89 og 91. ABruk av stasjonene: 89.1. Hornindalsvatn og  91.2. Dalsbøvatn (skaleringsfaktor: 26.297).'
700;92;101;10;92;93;94;95;96;97;98;99;100;101;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 092-101. ABruk av stasjonene: 91.2 Dalsbøvatn (skaleringsfaktor 19.181), 97.1 Fetvatn (skaleringsfaktor 16.300), 98.4. Øye ndf. (skaleringsfaktor 12.835), 100.1 Alstad (skaleringsfaktor 1) og 101.1 Engsetvatn (skaleringsfaktor 16.822).'
700;102;106;3;102;105;106;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 102, 105, 106. ABruk av stasjonene: 101.1 Engsetvatn (skaleringsfaktor 11.999), 105.1. Øren (skaleringsfaktor 3.516) og 107.3. Farstad (skaleringsfaktor: 5.976).'
700;103;103;1;103;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 103. ABruk av stasjonene: 103.19 Venge (skaleringsfaktor 1), 103.20 Morstøl bru (skaleringsfaktor 1) og 105.1 Øren  (skaleringsfaktor 4.713).'
700;104;104;1;104;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 104. ABruk av stasjonene: 104.2 Eikesdalsvatn (skaleringsfaktor 1), 104.23 Vistdal (skaleringsfaktor 1) og  105.1 Øren (skaleringsfaktor: 3.370).'
700;107;119;10;107;108;110;113;114;115;116;117;118;119;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 107, 108, 110, 113-119. ABruk av stasjonene: 107.3 Farstad (skaleringsfaktor 47.678) og 117.4 Valen (skaleringsfaktor 93.070).'
700;109;109;1;109;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 109. ABruk av stasjonene: 109.42 Elverhøy bru (skaleringsfaktor 1) og 104.23 Vistdal (skaleringsfaktor 8.422).'
700;111;112;2;111;112;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 111 og 112. ABruk av stasjonene: 111.5 Toåa  (skaleringsfaktor 1), 111.9 Søya (skaleringsfaktor 9.449) og 112.27 Skjermo (skaleringsfaktor 1).'
700;120;123;4;120;121;122;123;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 120, 121,122 og 123. ABruk av stasjonene: 121.22. Syrstad, 122.9. Gaulfoss, 123.20 Rathe og 133.7. Krinsvatn (skaleringsfaktor: 4,850).'
700;124;127;4;124;125;126;127;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 124, 125, 126 og 127. ABruk av stasjonene: 124.12. Hegra bru, 127.13. Dillfoss, 127.6. Grunnfoss og 133.7. Krinsvatn (skaleringsfaktor: 2,393).'
